Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
33.0,Sat,2019-04-20,13:00,Celta Vigo,1.8,2–1,0.4,Girona,20546.0,Estadio de Balaídos,Carlos del Cerro
33.0,Sat,2019-04-20,16:15,Eibar,0.6,0–1,1.3,Atlético Madrid,4750.0,Estadio Municipal de Ipurúa,Hsu Jason
33.0,Sat,2019-04-20,18:30,Rayo Vallecano,1.2,0–0,1.1,Huesca,10542.0,Estadio del Rayo Vallecano,José González
33.0,Sat,2019-04-20,20:45,Barcelona,1.1,2–1,1.5,Real Sociedad,75470.0,Camp Nou,Pablo González
33.0,Sun,2019-04-21,12:00,Levante,1.8,2–2,2.1,Espanyol,16876.0,Estadio Ciudad de Valencia,Jesús Gil
33.0,Sun,2019-04-21,14:00,Getafe,2.9,3–0,0.7,Sevilla,11495.0,Coliseum Alfonso Pérez,Antonio Matéu Lahoz
33.0,Sun,2019-04-21,16:15,Real Madrid,1.9,3–0,0.5,Athletic Club,59815.0,Estadio Santiago Bernabéu,Mario Melero
33.0,Sun,2019-04-21,18:30,Villarreal,1.0,2–1,1.2,Leganés,14753.0,Estadio de la Cerámica,Eduardo Prieto
33.0,Sun,2019-04-21,20:45,Betis,2.1,1–2,0.2,Valencia,42508.0,Estadio Benito Villamarín,José Sánchez
34.0,Tue,2019-04-23,19:30,Huesca,1.0,2–0,0.8,Eibar,6157.0,Estadio El Alcoraz,David Medié
34.0,Tue,2019-04-23,20:30,Valladolid,0.9,1–0,0.6,Girona,19106.0,Estadio Municipal José Zorrilla,Juan Martínez
34.0,Tue,2019-04-23,21:30,Alavés,0.3,0–2,2.5,Barcelona,18735.0,Estadio de Mendizorroza,Adrián Cordero
34.0,Wed,2019-04-24,19:30,Atlético Madrid,1.6,3–2,2.1,Valencia,43531.0,Estadio Wanda Metropolitano,Alejandro Hernández
34.0,Wed,2019-04-24,20:30,Espanyol,2.2,1–1,2.7,Celta Vigo,15680.0,RCDE Stadium,Alberto Undiano
34.0,Wed,2019-04-24,20:30,Leganés,0.6,0–1,0.6,Athletic Club,4155.0,Estadio Municipal de Butarque,Ignacio Iglesias
34.0,Wed,2019-04-24,21:30,Levante,1.4,4–0,0.4,Betis,20394.0,Estadio Ciudad de Valencia,Santiago Jaime
34.0,Thu,2019-04-25,19:30,Sevilla,3.8,5–0,0.9,Rayo Vallecano,31636.0,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra
34.0,Thu,2019-04-25,20:30,Real Sociedad,0.8,0–1,0.7,Villarreal,20060.0,Estadio Municipal de Anoeta,José Luis Munuera
34.0,Thu,2019-04-25,21:30,Getafe,0.6,0–0,1.8,Real Madrid,13135.0,Coliseum Alfonso Pérez,Ricardo de Burgos
35.0,Sat,2019-04-27,13:00,Athletic Club,1.3,1–1,1.3,Alavés,40402.0,San Mamés,Jesús Gil
